canonical_composer,canonical_title,split,year,midi_filename,audio_filename,duration,era
Domenico Scarlatti,Sonata K. 466,train,2008,midi/baroque/BAR_001_Domenico_Scarlatti_Sonata_K_466.midi,audio/baroque/BAR_001_Domenico_Scarlatti_Sonata_K_466.wav,121.19,Baroque
Domenico Scarlatti,Sonata K. 525,train,2008,midi/baroque/BAR_002_Domenico_Scarlatti_Sonata_K_525.midi,audio/baroque/BAR_002_Domenico_Scarlatti_Sonata_K_525.wav,65.95,Baroque
Domenico Scarlatti,Sonata K. 54,train,2008,midi/baroque/BAR_003_Domenico_Scarlatti_Sonata_K_54.midi,audio/baroque/BAR_003_Domenico_Scarlatti_Sonata_K_54.wav,205.77,Baroque
Domenico Scarlatti,"Sonata in A Major, K. 208",train,2014,midi/baroque/BAR_004_Domenico_Scarlatti_Sonata_in_A_Major_K_208.midi,audio/baroque/BAR_004_Domenico_Scarlatti_Sonata_in_A_Major_K_208.wav,146.68,Baroque
Domenico Scarlatti,"Sonata in B Minor, K. 197",train,2009,midi/baroque/BAR_005_Domenico_Scarlatti_Sonata_in_B_Minor_K_197.midi,audio/baroque/BAR_005_Domenico_Scarlatti_Sonata_in_B_Minor_K_197.wav,298.06,Baroque
Domenico Scarlatti,"Sonata in B Minor, K. 27",train,2009,midi/baroque/BAR_006_Domenico_Scarlatti_Sonata_in_B_Minor_K_27.midi,audio/baroque/BAR_006_Domenico_Scarlatti_Sonata_in_B_Minor_K_27.wav,95.02,Baroque
Domenico Scarlatti,"Sonata in B Minor, K. 87",train,2018,midi/baroque/BAR_007_Domenico_Scarlatti_Sonata_in_B_Minor_K_87.midi,audio/baroque/BAR_007_Domenico_Scarlatti_Sonata_in_B_Minor_K_87.wav,294.08,Baroque
Domenico Scarlatti,"Sonata in B Minor, K. 87",validation,2014,midi/baroque/BAR_008_Domenico_Scarlatti_Sonata_in_B_Minor_K_87.midi,audio/baroque/BAR_008_Domenico_Scarlatti_Sonata_in_B_Minor_K_87.wav,317.4,Baroque
Domenico Scarlatti,"Sonata in B Minor, L. 33",validation,2009,midi/baroque/BAR_009_Domenico_Scarlatti_Sonata_in_B_Minor_L_33.midi,audio/baroque/BAR_009_Domenico_Scarlatti_Sonata_in_B_Minor_L_33.wav,167.32,Baroque
Domenico Scarlatti,"Sonata in C Major, K. 132",train,2014,midi/baroque/BAR_010_Domenico_Scarlatti_Sonata_in_C_Major_K_132.midi,audio/baroque/BAR_010_Domenico_Scarlatti_Sonata_in_C_Major_K_132.wav,241.69,Baroque
